champion_name,role,total_matches,wins,win_rate
Zilean,TOP,17,14,82.35294117647058
Zilean,UTILITY,83,50,60.24096385542169
Zoe,MIDDLE,62,27,43.54838709677419
Zoe,TOP,2,1,50.0
Zoe,UTILITY,44,22,50.0
Zyra,BOTTOM,30,20,66.66666666666666
Zyra,JUNGLE,162,82,50.617283950617285
Zyra,MIDDLE,3,2,66.66666666666666
Zyra,TOP,1,0,0.0
Zyra,UTILITY,19,11,57.89473684210527
