match_id,summoner_name,champion_id,role,win,bans_team_1,bans_team_2
EUW1_7215058344,PooEyedCripple,887,TOP,True,"[77, 7, 555, 84, 799]","[799, 555, 8, 42, 72]"
EUW1_7215058344,fear of regret,104,JUNGLE,True,"[77, 7, 555, 84, 799]","[799, 555, 8, 42, 72]"
EUW1_7215058344,BACA 2026,517,MIDDLE,True,"[77, 7, 555, 84, 799]","[799, 555, 8, 42, 72]"
EUW1_7215058344,Bliio,18,BOTTOM,True,"[77, 7, 555, 84, 799]","[799, 555, 8, 42, 72]"
EUW1_7215058344,Himothy the 3rd,78,UTILITY,True,"[77, 7, 555, 84, 799]","[799, 555, 8, 42, 72]"
EUW1_7217995013,Squiddly,79,TOP,True,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,lols1258,91,JUNGLE,True,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,INT FORSLUND,103,MIDDLE,True,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,Omigma,81,BOTTOM,True,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,Sleeptalk,40,UTILITY,True,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,a ronins purpose,777,TOP,False,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,,59,JUNGLE,False,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,veycem00217,517,MIDDLE,False,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,Myrtsin Ruler,51,BOTTOM,False,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7217995013,Solo Abuse,117,UTILITY,False,"[555, 799, 893, 72, 7]","[119, -1, 555, 69, 24]"
EUW1_7216473048,PoEs tk,92,TOP,False,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,TM Anonymouss,427,JUNGLE,False,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,BLUERZOR,134,MIDDLE,False,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,HENRlK TWARDZIK,18,BOTTOM,False,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,,12,UTILITY,False,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,Omigma,79,TOP,True,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,Ripple Overdrive,234,JUNGLE,True,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,quzquzquzAM,103,MIDDLE,True,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,Dreilix,22,BOTTOM,True,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7216473048,YunkVinoEnjoyer,902,UTILITY,True,"[58, 5, 7, 799, 42]","[893, -1, 119, 51, 799]"
EUW1_7219532985,Tschaeng,98,TOP,True,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,Batuuu,104,JUNGLE,True,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,TTV RYUTOLOL1,166,MIDDLE,True,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,RYU Mirraí,429,BOTTOM,True,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,well lets see,99,UTILITY,True,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,normie is ok,150,TOP,False,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,Corruptıon,77,JUNGLE,False,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,CompIete,101,MIDDLE,False,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,Liam Cole,18,BOTTOM,False,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7219532985,Kariƒagas,24,UTILITY,False,"[893, 78, 134, 51, 42]","[22, 234, 7, 72, 893]"
EUW1_7215584959,ElTimido,799,TOP,True,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,Charlie Heaton,60,JUNGLE,True,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,Herazør,517,MIDDLE,True,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,98 Percent Faith,222,BOTTOM,True,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,B1G MENTAL,117,UTILITY,True,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,Nomi,516,TOP,False,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,Kaimietis3,76,JUNGLE,False,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,Λlixx,777,MIDDLE,False,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,unforgiven 1,22,BOTTOM,False,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7215584959,Kvasna5,201,UTILITY,False,"[56, 92, 119, 72, 55]","[107, 7, 104, 897, 200]"
EUW1_7217340761,Clopium,79,TOP,False,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,bu rüya benim,104,JUNGLE,False,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,Λlixx,157,MIDDLE,False,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,EZLORD,81,BOTTOM,False,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,Pyrkã,111,UTILITY,False,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,Maynter,799,TOP,True,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,eune mikusik11,234,JUNGLE,True,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,Revenge Mode,7,MIDDLE,True,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,RANGED SUP NPC,42,BOTTOM,True,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7217340761,Simpli,57,UTILITY,True,"[-1, 72, 8, 22, 9]","[119, 72, 163, 777, 35]"
EUW1_7218838102,King Comeback,85,TOP,True,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,china d 434340,200,JUNGLE,True,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,Silk iwnl,517,MIDDLE,True,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,tibor,81,BOTTOM,True,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,Kysanna,526,UTILITY,True,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,B0LULU,910,UTILITY,False,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,KINGOFDEATHXXXXX,91,JUNGLE,False,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,Voeplil0,101,MIDDLE,False,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,DON FREDERICK,42,BOTTOM,False,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7218838102,qwrererwqreqeqwr,516,TOP,False,"[119, 107, 555, 897, 246]","[104, -1, 84, 3, 35]"
EUW1_7219916123,WW Macias,893,TOP,True,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,113 Senna acc,76,JUNGLE,True,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,Gangsterkahlil,238,MIDDLE,True,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,Ag0ny,136,BOTTOM,True,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,TIKT0K SUPERSTAR,412,UTILITY,True,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,GO RagoshixD123,157,TOP,False,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,FULL MUTE INTERS,35,JUNGLE,False,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,ThePowerOfEvil,112,MIDDLE,False,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,Rengοku,222,BOTTOM,False,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219916123,Paixdia,555,UTILITY,False,"[777, 53, 119, 42, 517]","[119, 799, 200, 234, 104]"
EUW1_7219967086,TheDisconnectTV,26,TOP,True,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,Miyamotô Musashî,234,JUNGLE,True,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,SlowQ,777,MIDDLE,True,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,Odysseus131,163,BOTTOM,True,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,pdfile janna,57,UTILITY,True,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,Wo Shi Shanyang,887,TOP,False,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,KOJl9N DOMINATOR,143,JUNGLE,False,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,Molnigt,157,BOTTOM,False,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,AIS333,42,MIDDLE,False,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7219967086,Walid Georgey,526,UTILITY,False,"[-1, 77, 799, 134, -1]","[122, 799, 103, 72, 429]"
EUW1_7213287445,wuyuz,8,TOP,False,"[432, 799, 119, 893, 897]","[7, 77, 799, 22, 897]"
EUW1_7213287445,FamiIy FriendIy,72,JUNGLE,False,"[432, 799, 119, 893, 897]","[7, 77, 799, 22, 897]"
EUW1_7213287445,B0LULU,3,MIDDLE,False,"[432, 799, 119, 893, 897]","[7, 77, 799, 22, 897]"
EUW1_7213287445,protiva 04970409,51,BOTTOM,False,"[432, 799, 119, 893, 897]","[7, 77, 799, 22, 897]"
