champion_name,role,total_matches,wins,win_rate
Kalista,UTILITY,3,2,66.66666666666666
Karma,MIDDLE,16,8,50.0
Karma,TOP,8,4,50.0
Karma,UTILITY,246,118,47.96747967479675
Karthus,BOTTOM,48,24,50.0
Karthus,JUNGLE,134,69,51.49253731343284
Karthus,MIDDLE,1,0,0.0
Karthus,TOP,1,0,0.0
Karthus,UTILITY,2,1,50.0
Kassadin,MIDDLE,39,15,38.46153846153847
Kassadin,TOP,1,0,0.0
Katarina,BOTTOM,1,1,100.0
Katarina,MIDDLE,121,60,49.586776859504134
Katarina,TOP,3,1,33.33333333333333
Kayle,MIDDLE,51,28,54.90196078431373
Kayle,TOP,27,17,62.96296296296296
Kayn,JUNGLE,77,37,48.05194805194805
Kennen,MIDDLE,3,2,66.66666666666666
Kennen,TOP,64,36,56.25
Kennen,UTILITY,1,0,0.0
Kha'Zix,JUNGLE,60,33,55.00000000000001
Kindred,JUNGLE,176,82,46.590909090909086
Kled,BOTTOM,1,1,100.0
Kled,TOP,56,25,44.642857142857146
Kog'Maw,BOTTOM,89,35,39.325842696629216
Kog'Maw,MIDDLE,6,3,50.0
Kog'Maw,TOP,3,3,100.0
LeBlanc,MIDDLE,126,61,48.41269841269841
LeBlanc,TOP,2,0,0.0
LeBlanc,UTILITY,7,3,42.857142857142854
Lee Sin,BOTTOM,2,1,50.0
Lee Sin,JUNGLE,247,128,51.821862348178136
Lee Sin,MIDDLE,8,3,37.5
Lee Sin,TOP,53,20,37.735849056603776
Lee Sin,UTILITY,1,0,0.0
Leona,BOTTOM,1,0,0.0
Leona,UTILITY,251,135,53.78486055776892
Lillia,JUNGLE,71,29,40.845070422535215
Lissandra,MIDDLE,23,9,39.130434782608695
Lissandra,TOP,2,1,50.0
Lissandra,UTILITY,2,1,50.0
Lucian,BOTTOM,26,9,34.61538461538461
Lucian,MIDDLE,3,0,0.0
Lucian,TOP,2,0,0.0
Lulu,TOP,1,1,100.0
Lulu,UTILITY,351,172,49.002849002849004
Lux,BOTTOM,33,17,51.515151515151516
Lux,MIDDLE,18,7,38.88888888888889
Lux,UTILITY,161,78,48.4472049689441
Malphite,BOTTOM,2,1,50.0
Malphite,MIDDLE,11,4,36.36363636363637
Malphite,TOP,88,52,59.09090909090909
Malzahar,BOTTOM,1,1,100.0
Malzahar,MIDDLE,30,13,43.333333333333336
Maokai,BOTTOM,1,0,0.0
Maokai,JUNGLE,7,2,28.57142857142857
Maokai,TOP,28,11,39.285714285714285
Maokai,UTILITY,58,31,53.44827586206896
Master Yi,JUNGLE,44,20,45.45454545454545
Master Yi,TOP,1,0,0.0
Milio,UTILITY,47,28,59.57446808510638
Miss Fortune,BOTTOM,52,25,48.07692307692308
Mordekaiser,BOTTOM,1,1,100.0
Mordekaiser,JUNGLE,3,2,66.66666666666666
Mordekaiser,TOP,26,13,50.0
Morgana,JUNGLE,46,20,43.47826086956522
Morgana,UTILITY,10,5,50.0
Naafiri,BOTTOM,1,1,100.0
Naafiri,MIDDLE,4,0,0.0
Naafiri,TOP,5,2,40.0
Nami,UTILITY,241,115,47.71784232365145
Nasus,BOTTOM,1,0,0.0
Nasus,JUNGLE,16,6,37.5
Nasus,MIDDLE,4,3,75.0
Nasus,TOP,8,5,62.5
Nautilus,MIDDLE,4,3,75.0
Nautilus,TOP,1,1,100.0
Nautilus,UTILITY,463,225,48.59611231101512
Neeko,BOTTOM,8,5,62.5
Neeko,MIDDLE,26,13,50.0
Neeko,TOP,8,5,62.5
Neeko,UTILITY,87,51,58.620689655172406
Nidalee,JUNGLE,123,67,54.47154471544715
Nidalee,TOP,13,6,46.15384615384615
Nilah,BOTTOM,30,16,53.333333333333336
Nilah,TOP,1,0,0.0
Nocturne,JUNGLE,77,47,61.038961038961034
Nunu & Willump,BOTTOM,2,1,50.0
Nunu & Willump,JUNGLE,44,27,61.36363636363637
Nunu & Willump,MIDDLE,1,1,100.0
Olaf,BOTTOM,35,18,51.42857142857142
Olaf,JUNGLE,8,3,37.5
Olaf,MIDDLE,2,1,50.0
Olaf,TOP,31,16,51.61290322580645
Olaf,UNKNOWN,1,0,0.0
Orianna,MIDDLE,213,104,48.82629107981221
Orianna,TOP,2,1,50.0
Ornn,BOTTOM,2,2,100.0
Ornn,MIDDLE,4,3,75.0
Ornn,TOP,100,42,42.0
